datetime,temp
2023-10-08,18.5
2023-10-09,18.9
2023-10-10,18.9
2023-10-11,18.9
2023-10-12,19
2023-10-13,20.7
2023-10-14,14.1
2023-10-15,10.5
2023-10-16,9
2023-10-17,10.6
2023-10-18,14.7
2023-10-19,17.5
2023-10-20,15.2
2023-10-21,13.4
2023-10-22,12.9
2023-10-23,10.5
2023-10-24,12.9
2023-10-25,13
2023-10-26,12.9
2023-10-27,12.2
2023-10-28,12.5
2023-10-29,13.5
2023-10-30,11.4
2023-10-31,11.9
2023-11-01,12.4
2023-11-02,11.7
2023-11-03,8.2
2023-11-04,10.4
2023-11-05,11.3
2023-11-06,10.3
2023-11-07,9.7
2023-11-08,9.7
2023-11-09,9.8
2023-11-10,8.7
2023-11-11,8
2023-11-12,9.4
2023-11-13,14.4
2023-11-14,12.4
2023-11-15,10.8
2023-11-16,8.8
2023-11-17,8.9
2023-11-18,10.7
2023-11-19,13.4
2023-11-20,10.8
2023-11-21,10.6
2023-11-22,7.8
2023-11-23,10
2023-11-24,9.4
2023-11-25,5.1
2023-11-26,3.8
2023-11-27,6.3
2023-11-28,5.7
2023-11-29,5.2
2023-11-30,4.5
2023-12-01,2.9
2023-12-02,0.6
2023-12-03,0.8
2023-12-04,6
2023-12-05,7.4
2023-12-06,5.9
2023-12-07,4.4
2023-12-08,8.2
2023-12-09,9.4
2023-12-10,10.3
2023-12-11,11.1
2023-12-12,11.5
2023-12-13,8.8
2023-12-14,8
2023-12-15,8.8
2023-12-16,7.1
2023-12-17,2.6
2023-12-18,1.8
2023-12-19,6.2
2023-12-20,8.1
2023-12-21,10.8
2023-12-22,10.4
2023-12-23,10.3
2023-12-24,11.1
2023-12-25,11.7
2023-12-26,10.7
2023-12-27,9.5
2023-12-28,10.3
2023-12-29,10.4
2023-12-30,9.2
2023-12-31,9.3
2024-01-01,8
2024-01-02,10.8
2024-01-03,10.7
2024-01-04,9.5
2024-01-05,7.7
2024-01-06,5.9
2024-01-07,3.5
2024-01-08,-0.7
2024-01-09,-1.8
2024-01-10,-0.8
2024-01-11,-0.2
2024-01-12,1.7
2024-01-13,-1.2
2024-01-14,-1.8
2024-01-15,1.8
2024-01-16,-0.7
2024-01-17,1.7
2024-01-18,0.7
2024-01-19,-0.3
2024-01-20,-0.8
2024-01-21,3.8
2024-01-22,10.9
2024-01-23,9.6
2024-01-24,13.4
2024-01-25,11.4
2024-01-26,10.2
2024-01-27,4.3
2024-01-28,4.8
2024-01-29,8.6
2024-01-30,10
2024-01-31,7.8
2024-02-01,10
2024-02-02,6.5
2024-02-03,9.5
2024-02-04,9.7
2024-02-05,8.7
2024-02-06,9.8
2024-02-07,11.4
2024-02-08,12.2
2024-02-09,11.5
2024-02-10,8.6
2024-02-11,8.9
2024-02-12,7.4
2024-02-13,7.1
2024-02-14,12.1
2024-02-15,13.8
2024-02-16,13.4
2024-02-17,11.6
2024-02-18,9.4
2024-02-19,10.8
2024-02-20,8.4
2024-02-21,8.6
2024-02-22,10.8
2024-02-23,6.1
2024-02-24,5.6
2024-02-25,6.8
2024-02-26,7.8
2024-02-27,6.6
2024-02-28,6.7
2024-02-29,9.2
2024-03-01,7.3
2024-03-02,6.4
2024-03-03,6.7
2024-03-04,7
2024-03-05,7.5
2024-03-06,7.1
2024-03-07,8
2024-03-08,8.8
2024-03-09,9.1
2024-03-10,8.4
2024-03-11,8.6
2024-03-12,9.6
2024-03-13,11.6
2024-03-14,12.2
2024-03-15,13.8
2024-03-16,12.2
2024-03-17,12.1
2024-03-18,14
2024-03-19,13
2024-03-20,14.4
2024-03-21,14.9
2024-03-22,13.6
2024-03-23,7.8
2024-03-24,7.8
2024-03-25,8.6
2024-03-26,9.6
2024-03-27,8.5
2024-03-28,9
2024-03-29,10.7
2024-03-30,8.4
2024-03-31,10.5
2024-04-01,9.9
2024-04-02,10.5
2024-04-03,13.1
2024-04-04,14.6
2024-04-05,15.6
2024-04-06,17.9
2024-04-07,16.2
2024-04-08,15.7
2024-04-09,10.5
2024-04-10,11.1
2024-04-11,14.7
2024-04-12,16.9
2024-04-13,19.3
2024-04-14,15.8
2024-04-15,11
2024-04-16,9.3
2024-04-17,8.4
2024-04-18,8.2
2024-04-19,9.8
2024-04-20,7.7
2024-04-21,7.8
2024-04-22,7.4
2024-04-23,7.7
2024-04-24,8.2
2024-04-25,9.2
2024-04-26,11.5
2024-04-27,12.3
2024-04-28,12.4
2024-04-29,13.4
2024-04-30,14.9
